文件名,主色HEX,用途/解锁条件
rank-star-9.png,#A77BFF,段位徽章·星耀9级
rank-star-9-256.png,#A77BFF,段位徽章·星耀9级（小图）
rank-king-1.png,#FF6B6B,段位徽章·王者1级
rank-king-1-256.png,#FF6B6B,段位徽章·王者1级（小图）
rank-king-2.png,#FF6B6B,段位徽章·王者2级
rank-king-2-256.png,#FF6B6B,段位徽章·王者2级（小图）
rank-king-3.png,#FF6B6B,段位徽章·王者3级
rank-king-3-256.png,#FF6B6B,段位徽章·王者3级（小图）
rank-king-4.png,#FF6B6B,段位徽章·王者4级
rank-king-4-256.png,#FF6B6B,段位徽章·王者4级（小图）
rank-king-5.png,#FF6B6B,段位徽章·王者5级
rank-king-5-256.png,#FF6B6B,段位徽章·王者5级（小图）
rank-king-6.png,#FF6B6B,段位徽章·王者6级
rank-king-6-256.png,#FF6B6B,段位徽章·王者6级（小图）
rank-king-7.png,#FF6B6B,段位徽章·王者7级
rank-king-7-256.png,#FF6B6B,段位徽章·王者7级（小图）
rank-king-8.png,#FF6B6B,段位徽章·王者8级
rank-king-8-256.png,#FF6B6B,段位徽章·王者8级（小图）
rank-king-9.png,#FF6B6B,段位徽章·王者9级
rank-king-9-256.png,#FF6B6B,段位徽章·王者9级（小图）
rank-glory-1.png,#FF2D6F,段位徽章·荣耀王者1级
rank-glory-1-256.png,#FF2D6F,段位徽章·荣耀王者1级（小图）
rank-glory-2.png,#FF2D6F,段位徽章·荣耀王者2级
rank-glory-2-256.png,#FF2D6F,段位徽章·荣耀王者2级（小图）
rank-glory-3.png,#FF2D6F,段位徽章·荣耀王者3级
rank-glory-3-256.png,#FF2D6F,段位徽章·荣耀王者3级（小图）
rank-glory-4.png,#FF2D6F,段位徽章·荣耀王者4级
rank-glory-4-256.png,#FF2D6F,段位徽章·荣耀王者4级（小图）
rank-glory-5.png,#FF2D6F,段位徽章·荣耀王者5级
rank-glory-5-256.png,#FF2D6F,段位徽章·荣耀王者5级（小图）
rank-glory-6.png,#FF2D6F,段位徽章·荣耀王者6级
rank-glory-6-256.png,#FF2D6F,段位徽章·荣耀王者6级（小图）
rank-glory-7.png,#FF2D6F,段位徽章·荣耀王者7级
rank-glory-7-256.png,#FF2D6F,段位徽章·荣耀王者7级（小图）
rank-glory-8.png,#FF2D6F,段位徽章·荣耀王者8级
rank-glory-8-256.png,#FF2D6F,段位徽章·荣耀王者8级（小图）
rank-glory-9.png,#FF2D6F,段位徽章·荣耀王者9级
rank-glory-9-256.png,#FF2D6F,段位徽章·荣耀王者9级（小图）
skin-recruit.png,#8D9AA5,布衣学徒（免费）
skin-page-soldier.png,#EADFC8,书页小兵（免费）
skin-lion-cub.png,#F2A03D,小狮子学徒（免费）
skin-bunny-scholar.png,#F7B6C8,兔耳小学士（30星）
skin-dino-rookie.png,#7BD389,小恐龙新兵（60星）
skin-fox-scout.png,#F2793D,狐狸侦察兵（90星）
skin-eagle-archer.png,#4FA3E3,鹰羽弓手（140星）
skin-bear-guard.png,#A9744F,棕熊重卫（200星）
skin-owl-sage.png,#7C6BD6,猫头鹰贤者（260星）
skin-wolf-ranger.png,#6B7A8F,狼牙游侠（330星）
skin-bronze-warrior.png,#C8794B,段位·青铜
skin-silver-blade.png,#C9D2DC,段位·白银
skin-gold-commander.png,#F5C33B,段位·黄金
skin-platinum-warden.png,#8FE3D2,段位·铂金
skin-diamond-knight.png,#63B3FF,段位·钻石
skin-star-marshal.png,#A77BFF,段位·星耀
skin-king-lion.png,#FF6B6B,段位·王者
skin-glory-phoenix.png,#FF2D6F,段位·荣耀王者
skin-sprout-apprentice.png,#7BD389,连续签到30天
skin-cloud-rider.png,#8FC8F0,连续签到60天
skin-thunder-herald.png,#F5D03B,连续签到100天
skin-ocean-guard.png,#3FB6C9,连续签到250天
skin-legend-sage.png,#E8B84B,连续签到365天
skin-scholar-king.png,#5A6BD6,学段30关全三星
first_blood.png,#F5C33B,首胜
combo_master.png,#F5D03B,连击大师
star_collector.png,#63B3FF,星星收集者
rank_bronze.png,#C8794B,青铜段位
rank_king.png,#FF6B6B,王者段位
perfect_clear.png,#F5C33B,三星通关
streak_3.png,#FF6B3D,连续学习3天
streak_7.png,#FF6B3D,连续学习7天
streak_30.png,#FF2D3D,连续学习30天
streak_100.png,#FF2D6F,连续学习100天
daily_7.png,#7BD389,7天每日打卡
early_bird.png,#F5C33B,早起学习
answer_100.png,#4FA3E3,累计答对100题
answer_1000.png,#8D9AA5,累计答对1000题
answer_5000.png,#F5C33B,累计答对5000题
perfect_run.png,#A77BFF,满分闯关
combo_10.png,#F5D03B,10连击
combo_20.png,#FF6B3D,20连击
level_clear_1.png,#7BD389,通关1关
level_clear_10.png,#4FA3E3,通关10关
level_clear_30.png,#A77BFF,通关30关
grade_all_3star.png,#F5C33B,某学段全三星
chapter_perfect.png,#E8B84B,章节完美通关
boss_slayer.png,#6B7A8F,击败BOSS
play_first.png,#F7B6C8,首次游玩
play_all_types.png,#8FE3D2,体验全部玩法
sudoku_master.png,#63B3FF,数独大师
math24_master.png,#7BD389,算24大师
snake_master.png,#7BD389,贪吃蛇大师
memory_master.png,#F5C33B,记忆翻牌大师
wrong_clear_10.png,#F7B6C8,清空错题10道
wrong_clear_50.png,#8D9AA5,清空错题50道
review_master.png,#4FA3E3,复习大师
no_mistake_run.png,#EADFC8,零失误通关
rank_gold.png,#F5C33B,黄金段位
rank_diamond.png,#63B3FF,钻石段位
rank_platinum.png,#8FE3D2,铂金段位
rank_glory.png,#FF2D6F,荣耀王者段位
